range_miles,ev_share_from_bins,ev_share_pipeline,co2_savings_tons,capex_per_ton_usd
25,0.6544276457883369,0.6544276457883369,0.3274755939524838,2771.1988824781756
30,0.693304535637149,0.693304535637149,0.34692958963282994,3138.9654631434987
35,0.7321814254859611,0.7321814254859611,0.36638358531317516,3467.6771856850783
40,0.7710583153347732,0.7710583153347732,0.38583758099352083,3763.2415076342263
45,0.792656587473002,0.792656587473002,0.39664535637149045,4118.288475486639
50,0.8142548596112311,0.8142548596112311,0.4074531317494603,4454.500060429107
55,0.83585313174946,0.83585313174946,0.41826090712743014,4773.336369663955
60,0.857451403887689,0.857451403887689,0.42906868250539976,5076.110396317705
65,0.8790496760259179,0.8790496760259179,0.4398764578833694,5364.0060924233585
70,0.9006479481641468,0.9006479481641468,0.4506842332613392,5638.093841473582
75,0.9222462203023757,0.9222462203023757,0.4614920086393093,5899.343756844636
80,0.9308855291576673,0.9308855291576673,0.46581511879049686,6234.233031208443
85,0.9395248380129589,0.9395248380129589,0.4701382289416851,6562.963422365549
90,0.9481641468682505,0.9481641468682505,0.4744613390928727,6885.703282476524
95,0.956803455723542,0.956803455723542,0.4787844492440605,7202.61488326269
100,0.9654427645788336,0.9654427645788336,0.4831075593952485,7513.854688061629
105,0.9740820734341252,0.9740820734341252,0.48743066954643655,7819.5736094051545
110,0.9827213822894167,0.9827213822894167,0.49175377969762435,8119.917253010776
115,0.9913606911447084,0.9913606911447084,0.4960768898488124,8415.026149015423
120,0.9999999999999999,0.9999999999999999,0.5004000000000002,8705.035971223018
125,0.9999999999999999,0.9999999999999999,0.5004000000000002,9067.745803357311
130,0.9999999999999999,0.9999999999999999,0.5004000000000002,9430.455635491604
135,0.9999999999999999,0.9999999999999999,0.5004000000000002,9793.165467625897
140,0.9999999999999999,0.9999999999999999,0.5004000000000002,10155.875299760188
145,0.9999999999999999,0.9999999999999999,0.5004000000000002,10518.58513189448
150,0.9999999999999999,0.9999999999999999,0.5004000000000002,10881.294964028773
