range_miles,charges_per_week,scenario,ev_share,ev_vmt,gas_vmt,co2_savings_tons,capex_per_ton_usd
125,7,Worst,1.0,12000.0,0.0,-0.22499999999999964,inf
125,7,Average,1.0,12000.0,0.0,0.5004000000000004,9067.745803357308
125,7,Best,1.0,12000.0,0.0,1.1297999999999997,2832.3597096831304
150,2,Worst,0.8499999999999999,10199.999999999998,1800.0000000000018,-0.1912499999999997,inf
150,2,Average,0.8499999999999999,10199.999999999998,1800.0000000000018,0.4253400000000003,12801.52348709267
150,2,Best,0.8499999999999999,10199.999999999998,1800.0000000000018,0.9603299999999996,3998.625472493832
150,3,Worst,0.8999999999999999,10799.999999999998,1200.0000000000018,-0.20249999999999968,inf
150,3,Average,0.8999999999999999,10799.999999999998,1200.0000000000018,0.45035999999999987,12090.327737809755
150,3,Best,0.8999999999999999,10799.999999999998,1200.0000000000018,1.0168199999999994,3776.4796129108418
150,5,Worst,0.9999999999999999,11999.999999999998,1.8189894035458565e-12,-0.22499999999999964,inf
150,5,Average,0.9999999999999999,11999.999999999998,1.8189894035458565e-12,0.5004000000000002,10881.294964028773
150,5,Best,0.9999999999999999,11999.999999999998,1.8189894035458565e-12,1.1297999999999995,3398.8316516197574
150,7,Worst,1.0,12000.0,0.0,-0.22499999999999964,inf
150,7,Average,1.0,12000.0,0.0,0.5004000000000004,10881.294964028768
150,7,Best,1.0,12000.0,0.0,1.1297999999999997,3398.8316516197565
