range_miles,charges_per_week,scenario,ev_share,ev_vmt,gas_vmt,co2_savings_tons,capex_per_ton_usd
25,2,Worst,0.5562634989200863,6675.161987041036,5324.838012958964,-0.12515928725701952,inf
25,2,Average,0.5562634989200863,6675.161987041036,5324.838012958964,0.2783542548596114,3260.2339793860874
25,2,Best,0.5562634989200863,6675.161987041036,5324.838012958964,0.6284665010799133,1018.3518117517295
25,3,Worst,0.5889848812095032,7067.818574514038,4932.181425485962,-0.13252159827213816,inf
25,3,Average,0.5889848812095032,7067.818574514038,4932.181425485962,0.2947280345572356,3079.1098694201933
25,3,Best,0.5889848812095032,7067.818574514038,4932.181425485962,0.6654351187904963,961.7767110988558
25,5,Worst,0.6544276457883369,7853.131749460043,4146.868250539957,-0.14724622030237544,inf
25,5,Average,0.6544276457883369,7853.131749460043,4146.868250539957,0.3274755939524838,2771.1988824781756
25,5,Best,0.6544276457883369,7853.131749460043,4146.868250539957,0.7393723542116628,865.59903998897
25,7,Worst,0.6871490280777538,8245.788336933045,3754.211663066955,-0.15460853131749408,inf
25,7,Average,0.6871490280777538,8245.788336933045,3754.211663066955,0.34384937365010826,2639.237030931594
25,7,Best,0.6871490280777538,8245.788336933045,3754.211663066955,0.7763409719222458,824.3800380847334
50,2,Worst,0.6921166306695464,8305.399568034558,3694.600431965442,-0.155726241900648,inf
50,2,Average,0.6921166306695464,8305.399568034558,3694.600431965442,0.3463351619870414,5240.588306387183
50,2,Best,0.6921166306695464,8305.399568034558,3694.600431965442,0.7819533693304535,1636.926254433814
50,3,Worst,0.732829373650108,8793.952483801297,3206.0475161987033,-0.16488660907127395,inf
50,3,Average,0.732829373650108,8793.952483801297,3206.0475161987033,0.3667078185745143,4949.444511587897
50,3,Best,0.732829373650108,8793.952483801297,3206.0475161987033,0.8279506263498919,1545.9859069652687
50,5,Worst,0.8142548596112311,9771.058315334774,2228.9416846652257,-0.18320734341252676,inf
50,5,Average,0.8142548596112311,9771.058315334774,2228.9416846652257,0.4074531317494603,4454.500060429107
50,5,Best,0.8142548596112311,9771.058315334774,2228.9416846652257,0.9199451403887688,1391.3873162687419
50,7,Worst,0.8549676025917927,10259.611231101513,1740.388768898487,-0.19236771058315316,inf
50,7,Average,0.8549676025917927,10259.611231101513,1740.388768898487,0.4278257883369334,4242.381009932483
50,7,Best,0.8549676025917927,10259.611231101513,1740.388768898487,0.9659423974082072,1325.130777398802
75,2,Worst,0.7839092872570194,9406.911447084232,2593.0885529157677,-0.17637958963282907,inf
75,2,Average,0.7839092872570194,9406.911447084232,2593.0885529157677,0.3922682073434127,6940.404419817221
75,2,Best,0.7839092872570194,9406.911447084232,2593.0885529157677,0.8856607127429802,2167.8730606143376
75,3,Worst,0.8300215982721382,9960.259179265659,2039.7408207343415,-0.18675485961123073,inf
75,3,Average,0.8300215982721382,9960.259179265659,2039.7408207343415,0.41534280777537824,6554.826396494042
75,3,Best,0.8300215982721382,9960.259179265659,2039.7408207343415,0.9377584017278615,2047.4356683579852
75,5,Worst,0.9222462203023757,11066.954643628509,933.0453563714909,-0.2075053995680345,inf
75,5,Average,0.9222462203023757,11066.954643628509,933.0453563714909,0.4614920086393093,5899.343756844636
75,5,Best,0.9222462203023757,11066.954643628509,933.0453563714909,1.041953779697624,1842.6921015221865
75,7,Worst,0.9683585313174945,11620.302375809933,379.69762419006656,-0.21788066954643615,inf
75,7,Average,0.9683585313174945,11620.302375809933,379.69762419006656,0.4845666090712746,5618.422625566322
75,7,Best,0.9683585313174945,11620.302375809933,379.69762419006656,1.094051468682505,1754.9448585925588
100,2,Worst,0.8206263498920086,9847.516198704103,2152.483801295897,-0.1846409287257016,inf
100,2,Average,0.8206263498920086,9847.516198704103,2152.483801295897,0.4106414254859616,8839.829044778378
100,2,Best,0.8206263498920086,9847.516198704103,2152.483801295897,0.927143650107991,2761.168670789924
100,3,Worst,0.8688984881209503,10426.781857451404,1573.218142548596,-0.19550215982721353,inf
100,3,Average,0.8688984881209503,10426.781857451404,1573.218142548596,0.4347968034557239,8348.727431179583
100,3,Best,0.8688984881209503,10426.781857451404,1573.218142548596,0.9816815118790495,2607.7704113015943
100,5,Worst,0.9654427645788336,11585.313174946003,414.6868250539974,-0.2172246220302374,inf
100,5,Average,0.9654427645788336,11585.313174946003,414.6868250539974,0.4831075593952485,7513.854688061629
100,5,Best,0.9654427645788336,11585.313174946003,414.6868250539974,1.0907572354211659,2346.9933701714353
100,7,Worst,1.0,12000.0,0.0,-0.22499999999999964,inf
100,7,Average,1.0,12000.0,0.0,0.5004000000000004,7254.196642685845
100,7,Best,1.0,12000.0,0.0,1.1297999999999997,2265.8877677465043
125,2,Worst,0.8499999999999999,10199.999999999998,1800.0000000000018,-0.1912499999999997,inf
125,2,Average,0.8499999999999999,10199.999999999998,1800.0000000000018,0.4253400000000003,10667.936239243892
125,2,Best,0.8499999999999999,10199.999999999998,1800.0000000000018,0.9603299999999996,3332.18789374486
125,3,Worst,0.8999999999999999,10799.999999999998,1200.0000000000018,-0.20249999999999968,inf
125,3,Average,0.8999999999999999,10799.999999999998,1200.0000000000018,0.45035999999999987,10075.273114841462
125,3,Best,0.8999999999999999,10799.999999999998,1200.0000000000018,1.0168199999999994,3147.066344092368
125,5,Worst,0.9999999999999999,11999.999999999998,1.8189894035458565e-12,-0.22499999999999964,inf
125,5,Average,0.9999999999999999,11999.999999999998,1.8189894035458565e-12,0.5004000000000002,9067.745803357311
125,5,Best,0.9999999999999999,11999.999999999998,1.8189894035458565e-12,1.1297999999999995,2832.359709683131
